NIS Value
74.4774
1.82547
7.5244
5.9901
0.331697
1.32993
4.08407
1.89287
1.47841
1.84827
3.49314
0.449151
2.43905
4.92722
2.22063
7.11072
6.80712
4.54704
5.03131
3.82345
2.00279
0.728481
1.56875
0.858979
3.26477
11.3938
0.236703
1.30613
3.80368
2.81705
0.909543
1.79623
0.594884
4.35596
1.51723
2.91478
0.895676
0.816476
0.302568
0.730645
3.76782
0.253499
2.20442
0.477733
0.944579
2.53881
7.3046
3.11488
4.93995
11.376
3.4228
3.68608
2.09485
1.28169
0.943881
1.4251
3.29572
8.36958
1.24345
1.70023
0.250885
6.93
5.77516
2.49979
1.87707
6.72514
1.68434
3.15416
3.25022
10.0152
3.3682
5.74178
2.02649
1.16861
0.34928
2.54542
1.76868
2.54573
1.0223
1.13263
4.22003
5.32885
1.01317
2.35084
1.41656
4.28897
0.0545736
3.37828
0.268107
0.615722
2.96803
1.67403
1.74735
4.72209
1.54718
1.24005
7.41772
3.41853
2.27305
2.93617
2.20127
4.92242
0.989457
1.93052
1.06133
2.71178
1.65408
2.64128
0.830106
1.28118
3.23026
3.68965
2.84571
2.82405
1.11301
1.17826
0.617245
2.64048
2.01387
3.05701
5.44597
6.27369
1.45749
3.70556
3.97635
2.65108
0.0998047
2.5521
1.09807
4.4082
1.0364
0.107795
4.40528
0.684166
1.18386
5.15331
5.86288
3.85682
5.8238
2.64087
4.14872
3.44543
1.34205
0.293883
4.33761
0.528219
0.368609
2.3694
3.62297
0.278442
5.63314
1.08531
7.36679
0.984512
1.91861
1.32838
1.79438
1.52449
2.93643
1.64385
2.89576
3.80918
2.8962
0.311284
4.45752
2.1538
2.28978
5.07633
7.72925
1.69554
0.713856
1.74056
3.94365
1.1954
5.07228
1.62097
2.51512
1.95444
6.31895
2.06789
0.839963
3.85124
1.47107
0.861088
2.06612
3.57356
0.335692
1.88589
1.25136
6.43067
0.289804
10.9324
3.6512
0.714588
1.33455
0.913576
2.00495
1.68942
5.075
2.30172
2.75976
1.79169
7.26898
8.70439
0.183816
1.02849
2.61776
2.17826
1.1079
0.575589
8.91736
2.28545
0.924523
3.27014
4.5518
1.84264
5.56111
1.43032
2.37592
5.94324
1.7637
6.52458
4.33552
2.205
1.68948
4.56157
1.64442
5.32987
3.07395
0.457484
0.0440756
0.486253
0.330908
7.74472
6.45133
0.543479
2.33189
0.210059
1.60107
0.78086
2.71347
9.05775
0.194817
6.67475
3.84563
2.55115
6.19635
1.64429
2.32244
